url,desc,title
/,"

                    ",Top
/Computers/,,Computers
/Computers/Programming/,,Programming
/Computers/Programming/Languages/,,Languages
/Computers/Programming/Languages/Python/,,Python
,"
                            , ,
                        ",
/Computers/Programming/Languages/Python/Resources/,"
                        , 
                        ,
                    ",Computers: Programming: Languages: Python: Resources
/Computers/Programming/Languages/Ruby/Books/,"
                        , 
                        ,
                    ",Computers: Programming: Languages: Ruby: Books
/World/Deutsch/Computer/Programmieren/Sprachen/Python/B%C3%BCcher,"
                    	,
                        ,
                    ",Deutsch
/World/Russian/%D0%9A%D0%BE%D0%BC%D0%BF%D1%8C%D1%8E%D1%82%D0%B5%D1%80%D1%8B/%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%80%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D0%B5/%D0%AF%D0%B7%D1%8B%D0%BA%D0%B8/Python/%D0%9A%D0%BD%D0%B8%D0%B3%D0%B8,"
                    	,
                        ,
                    ",Русский
"http://www.pearsonhighered.com/educator/academic/product/0,,0130260363,00%2Ben-USS_01DBC.html","
	
                                , 
			
                                - By Wesley J. Chun; Prentice Hall PTR, 2001, ISBN 0130260363. For experienced developers to improve extant skills; professional level examples. Starts by introducing syntax, objects, error handling, functions, classes, built-ins. [Prentice Hall]
                                
                                ,
                                ",Core Python Programming
http://www.brpreiss.com/books/opus7/html/book.html,"
	
                                , 
			
                                - The primary goal of this book is to promote object-oriented design using Python and to illustrate the use of the emerging object-oriented design patterns.
A secondary goal of the book is to present mathematical tools just in time. Analysis techniques and proofs are presented as needed and in the proper context.
                                
                                ,
                                ",Data Structures and Algorithms with Object-Oriented Design Patterns in Python
http://www.diveintopython.net/,"
	
                                , 
			
                                - By Mark Pilgrim, Guide to Python 3  and its differences from Python 2. Each chapter starts with a real code sample and explains it fully. Has a comprehensive appendix of all the syntactic and semantic changes in Python 3


                                
                                ,
                                ",Dive Into Python 3
http://rhodesmill.org/brandon/2011/foundations-of-python-network-programming/,"
	
                                , 
			
                                - This book covers a wide range of topics. From raw TCP and UDP to encryption with TSL, and then to HTTP, SMTP, POP, IMAP, and ssh. It gives you a good understanding of each field and how to do everything on the network with Python.
                                
                                ,
                                ",Foundations of Python Network Programming
http://www.techbooksforfree.com/perlpython.shtml,"
	
                                , 
			
                                - Free Python books and tutorials.
                                
                                ,
                                ",Free Python books
http://www.freetechbooks.com/python-f6.html,"
	
                                , 
			
                                - Annotated list of free online books on Python scripting language. Topics range from beginner to advanced.
                                
                                ,
                                ",FreeTechBooks: Python Scripting Language
http://greenteapress.com/thinkpython/,"
	
                                , 
			
                                - By Allen B. Downey, Jeffrey Elkner, Chris Meyers; Green Tea Press, 2002, ISBN 0971677506. Teaches general principles of programming, via Python as subject language. Thorough, in-depth approach to many basic and intermediate programming topics. Full text online and downloads: HTML, PDF, PS, LaTeX. [Free, Green Tea Press]
                                
                                ,
                                ",How to Think Like a Computer Scientist: Learning with Python
http://www.network-theory.co.uk/python/intro/,"
	
                                , 
			
                                - By Guido van Rossum, Fred L. Drake, Jr.; Network Theory Ltd., 2003, ISBN 0954161769. Printed edition of official tutorial, for v2.x, from Python.org. [Network Theory, online]
                                
                                ,
                                ",An Introduction to Python
http://www.freenetpages.co.uk/hp/alan.gauld/,"
	
                                , 
			
                                - Book by Alan Gauld with full text online. Introduction for those learning programming basics: terminology, concepts, methods to write code. Assumes no prior knowledge but basic computer skills.
                                
                                ,
                                ",Learn to Program Using Python
http://www.wiley.com/WileyCDA/WileyTitle/productCd-0471219754.html,"
	
                                , 
			
                                - By Rashi Gupta; John Wiley and Sons, 2002, ISBN 0471219754. Covers language basics, use for CGI scripting, GUI development, network programming; shows why it is one of more sophisticated of popular scripting languages. [Wiley]
                                
                                ,
                                ",Making Use of Python
http://hetland.org/writing/practical-python/,"
	
                                , 
			
                                - By Magnus Lie Hetland; Apress LP, 2002, ISBN 1590590066. Readable guide to ideas most vital to new users, from basics common to high level languages, to more specific aspects, to a series of 10 ever more complex programs. [Apress]
                                
                                ,
                                ",Practical Python
http://sysadminpy.com/,"
	
                                , 
			
                                - By Rytis Sileika, ISBN13: 978-1-4302-2605-5, Uses real-world system administration examples like manage devices with SNMP and SOAP, build a distributed monitoring system, manage web applications and parse complex log files, monitor and manage MySQL databases.
                                
                                ,
                                ",Pro Python System Administration
http://www.qtrac.eu/py3book.html,"
	
                                , 
			
                                - A Complete Introduction to the Python 3.
                                
                                ,
                                ",Programming in Python 3 (Second Edition)
http://www.wiley.com/WileyCDA/WileyTitle/productCd-0764548077.html,"
	
                                , 
			
                                - By Dave Brueck, Stephen Tanner; John Wiley and Sons, 2001, ISBN 0764548077. Full coverage, clear explanations, hands-on examples, full language reference; shows step by step how to use components, assemble them, form full-featured programs. [John Wiley and Sons]
                                
                                ,
                                ",Python 2.1 Bible
https://www.packtpub.com/python-3-object-oriented-programming/book,"
	
                                , 
			
                                - A step-by-step tutorial for OOP in Python 3, including discussion and examples of abstraction, encapsulation, information hiding, and raise, handle, define, and manipulate exceptions.
                                
                                ,
                                ",Python 3 Object Oriented Programming
http://www.network-theory.co.uk/python/language/,"
	
                                , 
			
                                - By Guido van Rossum, Fred L. Drake, Jr.; Network Theory Ltd., 2003, ISBN 0954161785. Printed edition of official language reference, for v2.x, from Python.org, describes syntax, built-in datatypes. [Network Theory, online]
                                
                                ,
                                ",Python Language Reference Manual
"http://www.pearsonhighered.com/educator/academic/product/0,,0130409561,00%2Ben-USS_01DBC.html","
	
                                , 
			
                                - By Thomas W. Christopher; Prentice Hall PTR, 2002, ISBN 0130409561. Shows how to write large programs, introduces powerful design patterns that deliver high levels of robustness, scalability, reuse.
                                
                                ,
                                ",Python Programming Patterns
http://www.informit.com/store/product.aspx?isbn=0201616165&redir=1,"
	
                                , 
			
                                - By Richard Hightower; Addison-Wesley, 2002, 0201616165. Begins with Python basics, many exercises, interactive sessions. Shows programming novices concepts and practical methods. Shows programming experts Python's abilities and ways to interface with Java APIs. [publisher website]
                                
                                ,
                                ",Python Programming with the Java Class Libraries: A Tutorial for Building Web and Enterprise Applications with Jython
"http://www.pearsonhighered.com/educator/academic/product/0,,0201748843,00%2Ben-USS_01DBC.html","
	
                                , 
			
                                - By Chris Fehily; Peachpit Press, 2002, ISBN 0201748843. Task-based, step-by-step visual reference guide, many screen shots, for courses in digital graphics; Web design, scripting, development; multimedia, page layout, office tools, operating systems. [Prentice Hall]
                                
                                ,
                                ",Python: Visual QuickStart Guide
http://www.informit.com/store/product.aspx?isbn=0672317354,"
	
                                , 
			
                                - By Ivan Van Laningham; Sams Publishing, 2000, ISBN 0672317354. Split into 24 hands-on, 1 hour lessons; steps needed to learn topic: syntax, language features, OO design and programming, GUIs (Tkinter), system administration, CGI. [Sams Publishing]
                                
                                ,
                                ",Sams Teach Yourself Python in 24 Hours
/,"

                    ",Top
/Computers/,,Computers
/Computers/Programming/,,Programming
/Computers/Programming/Languages/,,Languages
/Computers/Programming/Languages/Python/,,Python
,"
                            , ,
                        ",
/Computers/Programming/Resources/,"
                        , 
                        ,
                    ",Computers: Programming: Resources
http://www.pythonware.com/daily/,"
	
                                , 
			
                                - Contains links to assorted resources from the Python universe, compiled by PythonWare.
                                
                                ,
                                ",eff-bot's Daily Python URL
http://oreilly.com/python/,"
	
                                , 
			
                                - Features Python books, resources, news and articles.
                                
                                ,
                                ",O'Reilly Python Center
http://gnosis.cx/TPiP/,"
	
                                , 
			
                                - By David Mertz; Addison Wesley. Book in progress, full text, ASCII format. Asks for feedback. [author website, Gnosis Software, Inc.]
                                
                                ,
                                ",Text Processing in Python
http://www.informit.com/store/product.aspx?isbn=0130211192,"
	
                                , 
			
                                - By Sean McGrath; Prentice Hall PTR, 2000, ISBN 0130211192, has CD-ROM. Methods to build XML applications fast, Python tutorial, DOM and SAX, new Pyxie open source XML processing library. [Prentice Hall PTR]
                                
                                ,
                                ",XML Processing with Python
https://www.python.org/dev/,"
	
                                , 
			
                                - Resources for reporting bugs, accessing the Python source tree with CVS and taking part in the development of Python.
                                
                                ,
                                ",Python Developer's Guide
http://win32com.goermezer.de/,"
	
                                , 
			
                                - Scripts, examples and news about Python programming for the Windows platform.
                                
                                ,
                                ",Social Bug
